Loop,Sides,pi,A_error,R_error
0,6,3.4641016151377545870548926830117447338856105076208,0.32250896154796134859224929973224184968844110824566,0.10265779084358409902265299662593888279477296073328
1,12,3.2153903091734724776706439019295315966863369542754,0.073797655583679239208000518650028712489167554900332,0.023490523349471522770502662125056080885425231142223
2,24,3.1596599420975004833166349778332104862275384533577,0.018067288507707244853991594553707602030369053982604,0.0057509965485380023185462553664039057726954763760928
3,48,3.1460862151314349710980987942372541562653595873431,0.0044935615416417326354554109577512720681901879679466,0.0014303450628798388613689113792431595585032841451934
4,96,3.1427145996453682981688590937721238710009690915112,0.0011219460555750597062157104926209868037996921360641,0.00035712652125445013851200596803357885667868908434293
5,192,3.1418730499798238717454870936902294168838810234858,0.00028039639003063328284371041072653268671162411073145,0.000089252942996996657590283091439162210625739973956491
6,384,3.1416627470568485262244908138939158840179079895286,0.000070093467055287761847430614412999820738590153488762,0.000022311443520595928551352510534045653338766397452593
7,768,3.1416101766046895387634703606598010968490722729042,0.000017523014896300300826977380298212651902873529119796,0.0000055777488772382172531582117356944516166026985985912
8,1536,3.141597034321526151993218894814256842407581086613,0.0000043807317329135305755115347539582104116872379189051,0.0000013944302193054259923675768580121302285569648104526
9,3072,3.1415937487713520279759811356316880758286385172783,0.0000010951815587895133377523521851916314691179032299448,0.00000034860711732887644268113440261615540278946458796921
10,6144,3.1415929273850970335480082990529505054845423170418,0.00000027379530379508536491577344762128737291766667061619,0.000000087151751988670012614994054790595648761038996008627
11,12288,3.1415927220386138183428046714998230295066804614518,0.000000068448820579880161288220320145309511062076669568397,0.000000021787936288196362733659360142943588109324331516375
12,24576,3.1415926707019980478770182505008422657437956197085,0.000000017112204809414374867221339381546626220333413629926,0.0000000054469839652384050041605728067127169626783333246992
13,49152,3.1415926578678444198440085293367598349850044730309,0.0000000042780511813813651460572569507878350736558081157854,0.0000000013617459846339335616648796196679646621508230846545
14,98304,3.1415926546593060324972203922498593993172205392407,0.0000000010695127940345770089703565151200511398656224721951,0.00000000034043649574125416241742411545719538655336640433533
15,196608,3.1415926538571714368893648683025914848919946818545,0.0000000002673781984267214850230886006948252824794294459479,0.000000000085109123909236713894855638391058804179717030336986
16,393216,3.1415926536566377880642035815860405768244408219764,0.000000000066844549601560198306537692627271422601300169875405,0.000000000021277280975679376805001765604157856318023794725162
17,786432,3.1415926536065043758627134220468411588426175881485,0.000000000016711137400070038767338274645448188773416817478507,0.0000000000053193202438179815969658016266064321179921685165721
18,1572864,3.1415926535939710228126408922957569280310283323324,0.0000000000041777843499975090162540438338589329573261409101609,0.0000000000013298300609481289864738146273927683859638470084542
19,3145728,3.1415926535908376845501415104913426199235160860623,0.0000000000010444460874981272118397357263466866872108618232825,0.00000000000033245751523663434582047883012331494576357415321836
20,6291456,3.1415926535900543499845178369548238322950237071693,0.00000000000026111152187445367532094809785430779416011382173506,0.000000000000083114378809133717655246318508630169389605631636813
